trace,len,percentage,Variant_Name,len_trace
"(NEW,FIN,RELEASE,DELETE)",125,0.125,Variant_28,4
"(NEW,FIN,RELEASE,""CODE OK"",RELEASE,""CODE OK"",BILLED)",110,0.11,Variant_29,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,BILLED)",104,0.104,Variant_30,10
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",98,0.098,Variant_31,9
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",97,0.097,Variant_32,6
"(NEW,FIN,RELEASE)",91,0.091,Variant_33,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",91,0.091,Variant_34,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",90,0.09,Variant_35,10
"(NEW,""CHANGE DIAGN"",FIN)",88,0.08800000000000001,Variant_36,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",81,0.08099999999999999,Variant_37,10
"(NEW,""CHANGE DIAGN"",FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",79,0.079,Variant_38,8
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE NOK"",BILLED)",74,0.074,Variant_39,6
"(NEW,FIN,RELEASE,""CODE OK"",DELETE)",73,0.073,Variant_40,5
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",DELETE)",69,0.06899999999999999,Variant_41,4
"(NEW,FIN,RELEASE,""CODE NOK"",DELETE)",68,0.068,Variant_42,5
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",64,0.064,Variant_43,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""SET STATUS"")",61,0.061,Variant_44,6
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",60,0.06,Variant_45,10
"(NEW,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",58,0.058,Variant_46,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",55,0.055,Variant_47,11
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",54,0.054,Variant_48,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",48,0.048,Variant_49,14
"(NEW,""CHANGE DIAGN"",FIN,FIN,RELEASE,""CODE OK"",BILLED)",44,0.044000000000000004,Variant_50,7
"(NEW,FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",43,0.043,Variant_51,8
"(NEW,FIN,RELEASE,""SET STATUS"")",39,0.039,Variant_52,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,DELETE)",39,0.039,Variant_53,5
"(NEW,FIN,RELEASE,""CODE OK"")",38,0.038,Variant_54,4
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE NOK"",BILLED)",37,0.037,Variant_55,9
"(NEW,FIN,REOPEN,DELETE)",37,0.037,Variant_56,4
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE NOK"",""CODE NOK"",BILLED)",36,0.036000000000000004,Variant_57,7
"(NEW,FIN,RELEASE,REOPEN,DELETE)",35,0.034999999999999996,Variant_58,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""SET STATUS"")",34,0.034,Variant_59,5
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"",""CODE OK"")",33,0.033,Variant_60,7
"(NEW,""CHANGE DIAGN"",FIN,DELETE)",32,0.032,Variant_61,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,""SET STATUS"")",31,0.031,Variant_62,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"")",31,0.031,Variant_63,5
"(NEW,NEW,JOIN-PAT,JOIN-PAT,JOIN-PAT,JOIN-PAT)",28,0.027999999999999997,Variant_64,6
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",RELEASE,""CODE OK"",BILLED)",28,0.027999999999999997,Variant_65,8
"(NEW,""CHANGE DIAGN"",FIN,""SET STATUS"")",28,0.027999999999999997,Variant_66,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED,STORNO,REJECT,BILLED)",27,0.027,Variant_67,12
"(NEW,FIN,RELEASE,""CODE OK"",""CODE OK"")",27,0.027,Variant_68,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE NOK"",""CODE OK"",BILLED)",26,0.026,Variant_69,8
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",26,0.026,Variant_70,13
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",25,0.025,Variant_71,11
"(NEW,NEW)",23,0.023,Variant_72,2
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED,STORNO,BILLED)",22,0.022000000000000002,Variant_73,7
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",21,0.021,Variant_74,9
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED,STORNO,REJECT,BILLED)",19,0.019,Variant_75,8
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",19,0.019,Variant_76,8
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",19,0.019,Variant_77,11
"(NEW,""CHANGE DIAGN"")",18,0.018000000000000002,Variant_78,2
"(NEW,FIN,RELEASE,MANUAL,BILLED)",18,0.018000000000000002,Variant_79,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",""CODE OK"",BILLED)",18,0.018000000000000002,Variant_80,7
"(NEW,NEW,""CHANGE DIAGN"",JOIN-PAT,JOIN-PAT,JOIN-PAT,JOIN-PAT,FIN,FIN,RELEASE,RELEASE,""CODE OK"",BILLED,BILLED)",17,0.017,Variant_81,14
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE NOK"",""SET STATUS"")",17,0.017,Variant_82,6
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,REJECT,BILLED)",16,0.016,Variant_83,11
"(NEW,FIN,RELEASE,FIN,RELEASE,BILLED)",16,0.016,Variant_84,6
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",16,0.016,Variant_85,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",16,0.016,Variant_86,10
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,DELETE)",16,0.016,Variant_87,6
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",15,0.015,Variant_88,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",EMPTY)",15,0.015,Variant_89,6
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,DELETE)",15,0.015,Variant_90,7
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",15,0.015,Variant_91,10
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",DELETE)",15,0.015,Variant_92,6
"(NEW,""CHANGE DIAGN"",FIN,REOPEN,DELETE)",15,0.015,Variant_93,5
"(NEW,FIN,RELEASE,""CODE OK"",MANUAL,RELEASE,""CODE OK"",BILLED)",15,0.015,Variant_94,8
"(NEW,FIN,RELEASE,MANUAL)",14,0.013999999999999999,Variant_95,4
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",13,0.013,Variant_96,8
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",13,0.013,Variant_97,12
"(NEW,FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",13,0.013,Variant_98,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE)",13,0.013,Variant_99,4
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED,""CODE OK"")",12,0.012,Variant_100,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED,STORNO,REJECT,BILLED,STORNO,REJECT,BILLED)",12,0.012,Variant_101,15
"(NEW,NEW,DELETE)",12,0.012,Variant_102,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",12,0.012,Variant_103,17
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",MANUAL,RELEASE,""CODE OK"",BILLED)",12,0.012,Variant_104,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",12,0.012,Variant_105,11
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED,STORNO,REJECT,BILLED)",11,0.011000000000000001,Variant_106,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",11,0.011000000000000001,Variant_107,13
"(NEW,FIN,RELEASE,EMPTY)",11,0.011000000000000001,Variant_108,4
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",10,0.01,Variant_109,10
"(NEW,FIN,FIN,RELEASE,""CODE OK"",BILLED)",10,0.01,Variant_110,6
"(NEW,""CHANGE DIAGN"",FIN,REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",10,0.01,Variant_111,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",10,0.01,Variant_112,15
"(NEW,FIN,RELEASE,""CODE NOK"")",10,0.01,Variant_113,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,""SET STATUS"")",10,0.01,Variant_114,8
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",10,0.01,Variant_115,18
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",""SET STATUS"")",10,0.01,Variant_116,6
"(NEW,""SET STATUS"")",10,0.01,Variant_117,2
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",9,0.009000000000000001,Variant_118,9
"(NEW,NEW,""CHANGE DIAGN"",FIN,FIN,RELEASE,RELEASE,""CODE OK"",BILLED,BILLED,JOIN-PAT,JOIN-PAT,JOIN-PAT,JOIN-PAT)",8,0.008,Variant_119,14
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",DELETE)",8,0.008,Variant_120,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",8,0.008,Variant_121,14
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",8,0.008,Variant_122,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"")",8,0.008,Variant_123,12
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE NOK"",BILLED)",8,0.008,Variant_124,12
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",8,0.008,Variant_125,11
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",8,0.008,Variant_126,14
"(NEW,NEW,NEW,DELETE)",8,0.008,Variant_127,4
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED,""CODE OK"")",8,0.008,Variant_128,9
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE NOK"",EMPTY)",7,0.006999999999999999,Variant_129,6
"(NEW,""CHANGE DIAGN"",FIN,REOPEN,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",7,0.006999999999999999,Variant_130,10
"(NEW,""CHANGE DIAGN"",""SET STATUS"")",7,0.006999999999999999,Variant_131,3
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",7,0.006999999999999999,Variant_132,12
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",7,0.006999999999999999,Variant_133,10
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,""CODE OK"",FIN,RELEASE,""CODE OK"",BILLED)",7,0.006999999999999999,Variant_134,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",7,0.006999999999999999,Variant_135,11
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",7,0.006999999999999999,Variant_136,10
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,FIN,RELEASE,""CODE OK"",BILLED)",7,0.006999999999999999,Variant_137,8
"(NEW,FIN,RELEASE,BILLED,MANUAL)",7,0.006999999999999999,Variant_138,5
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""SET STATUS"")",7,0.006999999999999999,Variant_139,7
"(NEW,NEW,NEW,NEW,DELETE)",6,0.006,Variant_140,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",6,0.006,Variant_141,13
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",6,0.006,Variant_142,17
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,BILLED)",6,0.006,Variant_143,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",6,0.006,Variant_144,16
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",6,0.006,Variant_145,8
"(NEW,FIN,RELEASE,FIN,RELEASE,""CODE NOK"",BILLED)",6,0.006,Variant_146,7
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"",STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",6,0.006,Variant_147,13
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,""SET STATUS"")",6,0.006,Variant_148,8
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",6,0.006,Variant_149,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",6,0.006,Variant_150,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE ERROR"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE NOK"",""CODE OK"",BILLED)",6,0.006,Variant_151,13
"(NEW,FIN,RELEASE,""CODE OK"",""CODE OK"",BILLED,""CODE OK"")",6,0.006,Variant_152,7
"(NEW,FIN,RELEASE,""CODE OK"",RELEASE,""CODE OK"",RELEASE,""CODE OK"",BILLED)",6,0.006,Variant_153,9
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,REJECT,BILLED)",6,0.006,Variant_154,10
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"",STORNO,REJECT,REOPEN,DELETE)",6,0.006,Variant_155,10
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",6,0.006,Variant_156,16
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_157,12
"(NEW,""CHANGE END"",DELETE)",5,0.005,Variant_158,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_159,11
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_160,15
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_161,14
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_162,15
"(NEW,FIN,RELEASE,BILLED,STORNO,REJECT,BILLED)",5,0.005,Variant_163,7
"(NEW,NEW,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_164,6
"(NEW,FIN,RELEASE,REOPEN,FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_165,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,REJECT,BILLED,STORNO,REJECT,BILLED)",5,0.005,Variant_166,14
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_167,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,MANUAL,""CODE OK"",MANUAL)",5,0.005,Variant_168,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",5,0.005,Variant_169,11
"(NEW,FIN,REOPEN,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_170,9
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE NOK"",REOPEN,DELETE)",5,0.005,Variant_171,10
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",5,0.005,Variant_172,13
"(NEW,""CHANGE END"",FIN,RELEASE,""CODE OK"",BILLED)",5,0.005,Variant_173,6
"(NEW,""CHANGE DIAGN"",FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",4,0.004,Variant_174,9
"(NEW,FIN,RELEASE,""CODE NOK"",EMPTY,DELETE)",4,0.004,Variant_175,6
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_176,11
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"",STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_177,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",4,0.004,Variant_178,13
"(NEW,FIN,RELEASE,MANUAL,MANUAL,BILLED)",4,0.004,Variant_179,6
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_180,12
"(NEW,FIN,RELEASE,""CODE OK"",""CODE NOK"",""CODE OK"",""CODE OK"",BILLED)",4,0.004,Variant_181,8
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE ERROR"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_182,16
"(NEW,FIN,RELEASE,""CODE OK"",""CODE OK"",REOPEN,DELETE)",4,0.004,Variant_183,7
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",4,0.004,Variant_184,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,BILLED,STORNO,REJECT,BILLED)",4,0.004,Variant_185,13
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_186,15
"(NEW,FIN,RELEASE,BILLED,MANUAL,MANUAL)",4,0.004,Variant_187,6
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,MANUAL,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_188,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,MANUAL,""CODE OK"",MANUAL)",4,0.004,Variant_189,13
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,MANUAL,RELEASE,""CODE OK"",BILLED)",4,0.004,Variant_190,11
"(NEW,FIN,RELEASE,""CODE OK"",MANUAL,RELEASE,""CODE OK"",REOPEN,DELETE)",4,0.004,Variant_191,9
"(NEW,NEW,NEW)",4,0.004,Variant_192,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE ERROR"",REOPEN,FIN,RELEASE,""CODE NOK"",""CODE NOK"",""CODE OK"",BILLED)",4,0.004,Variant_193,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",4,0.004,Variant_194,14
"(NEW,DELETE,JOIN-PAT)",4,0.004,Variant_195,3
