trace,len,percentage,Variant_Name,len_trace
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",160,0.16413623307345096,Variant_25,8
"(NEW,FIN,RELEASE,""CODE OK"",""CODE OK"",BILLED)",140,0.14361920393926958,Variant_26,6
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",131,0.13438654082888798,Variant_27,8
"(NEW,FIN,RELEASE,DELETE)",125,0.12823143208863355,Variant_28,4
"(NEW,FIN,RELEASE,""CODE OK"",RELEASE,""CODE OK"",BILLED)",110,0.11284366023799754,Variant_29,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,BILLED)",104,0.10668855149774312,Variant_30,10
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",98,0.10053344275748873,Variant_31,9
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",97,0.09950759130077966,Variant_32,6
"(NEW,FIN,RELEASE)",91,0.09335248256052524,Variant_33,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",91,0.09335248256052524,Variant_34,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",90,0.09232663110381617,Variant_35,10
"(NEW,""CHANGE DIAGN"",FIN)",88,0.09027492819039803,Variant_36,3
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",81,0.08309396799343455,Variant_37,10
"(NEW,""CHANGE DIAGN"",FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",79,0.08104226508001641,Variant_38,8
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE NOK"",BILLED)",74,0.07591300779647107,Variant_39,6
"(NEW,FIN,RELEASE,""CODE OK"",DELETE)",73,0.074887156339762,Variant_40,5
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",DELETE)",69,0.07078375051292574,Variant_41,4
"(NEW,FIN,RELEASE,""CODE NOK"",DELETE)",68,0.06975789905621665,Variant_42,5
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",64,0.06565449322938038,Variant_43,11
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""SET STATUS"")",61,0.06257693885925318,Variant_44,6
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,RELEASE,""CODE OK"",BILLED)",60,0.061551087402544113,Variant_45,10
"(NEW,FIN,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",58,0.05949938448912598,Variant_46,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",55,0.05642183011899877,Variant_47,11
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",54,0.05539597866228971,Variant_48,12
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",48,0.04924086992203529,Variant_49,14
"(NEW,""CHANGE DIAGN"",FIN,FIN,RELEASE,""CODE OK"",BILLED)",44,0.04513746409519902,Variant_50,7
"(NEW,FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",43,0.04411161263848995,Variant_51,8
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,DELETE)",39,0.04000820681165367,Variant_52,5
"(NEW,FIN,RELEASE,""SET STATUS"")",39,0.04000820681165367,Variant_53,4
"(NEW,FIN,RELEASE,""CODE OK"")",38,0.038982355354944605,Variant_54,4
"(NEW,FIN,REOPEN,DELETE)",37,0.03795650389823554,Variant_55,4
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,FIN,RELEASE,""CODE NOK"",BILLED)",37,0.03795650389823554,Variant_56,9
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE NOK"",""CODE NOK"",BILLED)",36,0.03693065244152646,Variant_57,7
"(NEW,FIN,RELEASE,REOPEN,DELETE)",35,0.035904800984817395,Variant_58,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""SET STATUS"")",34,0.03487894952810833,Variant_59,5
